t,w
0,5
0.1,6.0788517977579
0.2,6.69461915094515
0.3,7.17006622661994
0.4,7.56537556230127
0.5,7.90215134917584
0.6,8.19140310872231
0.7,8.44050691516749
0.8,8.65522557758831
0.9,8.84035940590923
1,8.99999999999979
1.1,9.13766214618167
1.2,9.25637294222263
1.3,9.35874168496278
1.4,9.44701816437546
1.5,9.52314237430182
1.6,9.5887872218304
1.7,9.64539531248599
1.8,9.69421065884913
1.9,9.73630602053791
2,9.7726064795164
2.1,9.8039097697077
2.2,9.83090380792436
2.3,9.85418181144492
2.4,9.87425533447853
2.5,9.89156551001085
2.6,9.90649274408225
2.7,9.91936507553876
2.8,9.93046538496874
2.9,9.94003761124785
3,9.94829211230625
3.1,9.95541028792564
3.2,9.9615485661559
3.3,9.96684184095647
3.4,9.97140643660743
3.5,9.97534266403598
3.6,9.97873702523553
3.7,9.98166411422165
3.8,9.98418825629995
3.9,9.98636492167008
4,9.98824194443131
4.1,9.98986057377808
4.2,9.99125638048662
4.3,9.99246003861348
4.4,9.99349799958436
4.5,9.99439307348701
4.6,9.9951649303426
4.7,9.99583053237139
4.8,9.99640450675216
4.9,9.99689946706707
5,9.99732629049604
